date,month,month_label,region,category,channel,revenue,cost,orders,returns,rating,marketing_spend,gross_profit,gross_margin
2025-04-01,4,APR,South,Home,Marketplace,200949,123182,57,2,4.21,15272,77767,38.7
2025-04-01,4,APR,West,Beauty,Retail,183299,92933,87,2,4.41,13931,90366,49.3
2025-04-01,4,APR,West,Electronics,Retail,319094,231981,51,2,4.17,24251,87113,27.3
2025-04-01,4,APR,West,Fitness,Direct,155185,87990,55,2,4.49,10708,67195,43.3
2025-04-01,4,APR,West,Grocery,Marketplace,211413,145241,146,3,4.29,16067,66172,31.3
2025-04-01,4,APR,West,Home,Direct,241920,146845,69,2,4.25,16692,95075,39.3
2025-05-01,5,MAY,East,Beauty,Retail,147541,76574,70,2,4.42,11213,70967,48.1
2025-05-01,5,MAY,East,Electronics,Retail,249263,184205,40,2,4.18,18944,65058,26.1
2025-05-01,5,MAY,East,Fitness,Direct,126646,73328,45,1,4.5,8739,53318,42.1
2025-05-01,5,MAY,East,Grocery,Marketplace,168437,117737,116,2,4.3,12801,50700,30.1
2025-05-01,5,MAY,East,Home,Direct,191148,118321,55,2,4.26,13189,72827,38.1
2025-05-01,5,MAY,North,Beauty,Retail,171847,86095,82,2,4.42,13060,85752,49.9
2025-05-01,5,MAY,North,Electronics,Retail,300973,217002,49,2,4.18,22874,83971,27.9
2025-05-01,5,MAY,North,Fitness,Direct,145146,81427,52,2,4.5,10015,63719,43.9
2025-05-01,5,MAY,North,Grocery,Marketplace,198548,135211,137,3,4.3,15090,63337,31.9
2025-05-01,5,MAY,North,Home,Direct,227530,136746,65,2,4.26,15700,90784,39.9
2025-05-01,5,MAY,South,Beauty,Marketplace,159753,81953,76,2,4.38,12141,77800,48.7
2025-05-01,5,MAY,South,Electronics,Marketplace,273931,200791,44,2,4.14,20819,73140,26.7
2025-05-01,5,MAY,South,Fitness,Retail,136218,78053,49,2,4.5,10353,58165,42.7
2025-05-01,5,MAY,South,Grocery,Direct,183287,127018,126,2,4.34,12647,56269,30.7
2025-05-01,5,MAY,South,Home,Retail,208848,128024,60,2,4.26,15872,80824,38.7
2025-05-01,5,MAY,West,Beauty,Direct,190459,96563,91,2,4.42,13142,93896,49.3
2025-05-01,5,MAY,West,Electronics,Direct,332041,241394,54,2,4.18,22911,90647,27.3
2025-05-01,5,MAY,West,Fitness,Marketplace,161119,91354,58,2,4.46,12245,69765,43.3
2025-05-01,5,MAY,West,Grocery,Retail,219799,151002,152,3,4.34,16705,68797,31.3
2025-05-01,5,MAY,West,Home,Marketplace,251630,152739,72,3,4.22,19124,98891,39.3
2025-06-01,6,JUN,East,Beauty,Direct,147689,76651,70,2,4.43,10191,71038,48.1
2025-06-01,6,JUN,East,Electronics,Direct,249531,184403,40,2,4.19,17218,65128,26.1
2025-06-01,6,JUN,East,Fitness,Marketplace,126769,73399,45,1,4.47,9634,53370,42.1
2025-06-01,6,JUN,East,Grocery,Retail,168610,117858,116,2,4.35,12814,50752,30.1
2025-06-01,6,JUN,East,Home,Marketplace,191348,118444,55,2,4.23,14542,72904,38.1
2025-06-01,6,JUN,North,Beauty,Direct,172033,86189,82,2,4.43,11870,85844,49.9
2025-06-01,6,JUN,North,Electronics,Direct,301309,217244,49,2,4.19,20790,84065,27.9
2025-06-01,6,JUN,North,Fitness,Marketplace,145300,81513,52,2,4.47,11043,63787,43.9
2025-06-01,6,JUN,North,Grocery,Retail,198766,135360,137,2,4.35,15106,63406,31.9
2025-06-01,6,JUN,North,Home,Marketplace,227782,136897,65,2,4.23,17311,90885,39.9
2025-06-01,6,JUN,South,Beauty,Retail,159918,82038,76,2,4.43,12154,77880,48.7
2025-06-01,6,JUN,South,Electronics,Retail,274230,201011,44,2,4.19,20841,73219,26.7
2025-06-01,6,JUN,South,Fitness,Direct,136356,78132,49,2,4.51,9409,58224,42.7
2025-06-01,6,JUN,South,Grocery,Marketplace,183481,127152,127,3,4.31,13945,56329,30.7
2025-06-01,6,JUN,South,Home,Direct,209073,128162,60,2,4.27,14426,80911,38.7
2025-06-01,6,JUN,West,Beauty,Marketplace,190662,96666,91,3,4.39,14490,93996,49.3
2025-06-01,6,JUN,West,Electronics,Marketplace,332408,241661,54,3,4.15,25263,90747,27.3
2025-06-01,6,JUN,West,Fitness,Retail,161287,91450,58,2,4.51,12258,69837,43.3
2025-06-01,6,JUN,West,Grocery,Direct,220037,151165,152,3,4.35,15183,68872,31.3
2025-06-01,6,JUN,West,Home,Retail,251906,152907,72,2,4.27,19145,98999,39.3
2025-07-01,7,JUL,East,Beauty,Marketplace,145206,75362,69,2,4.4,11036,69844,48.1
2025-07-01,7,JUL,East,Electronics,Marketplace,245040,181085,40,2,4.16,18623,63955,26.1
2025-07-01,7,JUL,East,Fitness,Retail,124710,72207,45,1,4.52,9478,52503,42.1
2025-07-01,7,JUL,East,Grocery,Direct,165701,115825,114,2,4.36,11433,49876,30.1
2025-07-01,7,JUL,East,Home,Retail,187980,116360,54,2,4.28,14286,71620,38.1
2025-07-01,7,JUL,North,Beauty,Marketplace,168914,84626,80,2,4.4,12837,84288,49.9
2025-07-01,7,JUL,North,Electronics,Marketplace,295669,213177,48,2,4.16,22471,82492,27.9
2025-07-01,7,JUL,North,Fitness,Retail,142715,80063,51,2,4.52,10846,62652,43.9
2025-07-01,7,JUL,North,Grocery,Direct,195113,132872,135,2,4.36,13463,62241,31.9
2025-07-01,7,JUL,North,Home,Retail,223552,134355,64,2,4.28,16990,89197,39.9
2025-07-01,7,JUL,South,Beauty,Direct,157146,80616,75,2,4.44,10843,76530,48.7
2025-07-01,7,JUL,South,Electronics,Direct,269217,197336,43,2,4.2,18576,71881,26.7
2025-07-01,7,JUL,South,Fitness,Marketplace,134058,76815,48,2,4.48,10188,57243,42.7
2025-07-01,7,JUL,South,Grocery,Retail,180234,124902,124,2,4.36,13698,55332,30.7
2025-07-01,7,JUL,South,Home,Marketplace,205313,125857,59,2,4.24,15604,79456,38.7
2025-07-01,7,JUL,West,Beauty,Retail,187254,94938,89,2,4.44,14231,92316,49.3
2025-07-01,7,JUL,West,Electronics,Retail,326246,237181,53,2,4.2,24795,89065,27.3
2025-07-01,7,JUL,West,Fitness,Direct,158463,89849,57,2,4.52,10934,68614,43.3
2025-07-01,7,JUL,West,Grocery,Marketplace,216046,148424,149,3,4.32,16419,67622,31.3
2025-07-01,7,JUL,West,Home,Direct,247285,150102,71,2,4.28,17063,97183,39.3
2025-08-01,8,AUG,East,Beauty,Retail,153166,79493,73,2,4.46,11641,73673,48.1
2025-08-01,8,AUG,East,Electronics,Retail,259435,191722,42,2,4.22,19717,67713,26.1
2025-08-01,8,AUG,East,Fitness,Direct,131308,76027,47,1,4.54,9060,55281,42.1
2025-08-01,8,AUG,East,Grocery,Marketplace,175025,122342,121,2,4.34,13302,52683,30.1
2025-08-01,8,AUG,East,Home,Direct,198776,123042,57,2,4.3,13716,75734,38.1
2025-08-01,8,AUG,North,Beauty,Retail,178911,89634,85,2,4.46,13597,89277,49.9
2025-08-01,8,AUG,North,Electronics,Retail,313746,226211,51,2,4.22,23845,87535,27.9
2025-08-01,8,AUG,North,Fitness,Direct,151000,84711,54,2,4.54,10419,66289,43.9
2025-08-01,8,AUG,North,Grocery,Marketplace,206822,140846,143,3,4.34,15718,65976,31.9
2025-08-01,8,AUG,North,Home,Direct,237110,142503,68,2,4.3,16361,94607,39.9
2025-08-01,8,AUG,South,Beauty,Marketplace,166032,85174,79,2,4.42,12618,80858,48.7
2025-08-01,8,AUG,South,Electronics,Marketplace,285285,209114,46,2,4.18,21682,76171,26.7
2025-08-01,8,AUG,South,Fitness,Retail,141422,81035,51,2,4.54,10748,60387,42.7
2025-08-01,8,AUG,South,Grocery,Direct,190642,132115,131,2,4.38,13154,58527,30.7
2025-08-01,8,AUG,South,Home,Retail,217364,133244,62,2,4.3,16520,84120,38.7
2025-08-01,8,AUG,West,Beauty,Direct,198177,100476,94,2,4.46,13674,97701,49.3
2025-08-01,8,AUG,West,Electronics,Direct,345997,251540,56,3,4.22,23874,94457,27.3
2025-08-01,8,AUG,West,Fitness,Marketplace,167515,94981,60,2,4.5,12731,72534,43.3
2025-08-01,8,AUG,West,Grocery,Retail,228839,157212,158,3,4.38,17392,71627,31.3
2025-08-01,8,AUG,West,Home,Marketplace,262097,159093,75,3,4.26,19919,103004,39.3
2025-09-01,9,SEP,East,Beauty,Direct,159935,83006,76,2,4.47,11036,76929,48.1
2025-09-01,9,SEP,East,Electronics,Direct,271675,200768,44,2,4.23,18746,70907,26.1
2025-09-01,9,SEP,East,Fitness,Marketplace,136917,79275,49,2,4.51,10406,57642,42.1
2025-09-01,9,SEP,East,Grocery,Retail,182953,127884,126,2,4.39,13904,55069,30.1
2025-09-01,9,SEP,East,Home,Marketplace,207956,128725,59,2,4.27,15805,79231,38.1
2025-09-01,9,SEP,North,Beauty,Direct,187412,93893,89,2,4.47,12931,93519,49.9
2025-09-01,9,SEP,North,Electronics,Direct,329117,237293,53,2,4.23,22709,91824,27.9
2025-09-01,9,SEP,North,Fitness,Marketplace,158045,88663,56,2,4.51,12011,69382,43.9
2025-09-01,9,SEP,North,Grocery,Retail,216778,147626,150,3,4.39,16475,69152,31.9
2025-09-01,9,SEP,North,Home,Marketplace,248638,149431,71,3,4.27,18896,99207,39.9
2025-09-01,9,SEP,South,Beauty,Retail,173588,89051,83,2,4.47,13193,84537,48.7
2025-09-01,9,SEP,South,Electronics,Retail,298948,219129,48,2,4.23,22720,79819,26.7
2025-09-01,9,SEP,South,Fitness,Direct,147685,84624,53,2,4.55,10190,63061,42.7
2025-09-01,9,SEP,South,Grocery,Marketplace,199492,138248,138,3,4.35,15161,61244,30.7
2025-09-01,9,SEP,South,Home,Direct,227611,139526,65,2,4.31,15705,88085,38.7
2025-09-01,9,SEP,West,Beauty,Marketplace,207465,105185,99,3,4.43,15767,102280,49.3
2025-09-01,9,SEP,West,Electronics,Marketplace,362791,263749,59,3,4.19,27572,99042,27.3
2025-09-01,9,SEP,West,Fitness,Retail,175212,99345,63,2,4.55,13316,75867,43.3
2025-09-01,9,SEP,West,Grocery,Direct,239717,164686,165,3,4.39,16540,75031,31.3
2025-09-01,9,SEP,West,Home,Retail,274693,166739,78,3,4.31,20877,107954,39.3
2025-10-01,10,OCT,East,Beauty,Marketplace,168158,87274,80,2,4.44,12780,80884,48.1
2025-10-01,10,OCT,East,Electronics,Marketplace,286543,211755,46,2,4.2,21777,74788,26.1
2025-10-01,10,OCT,East,Fitness,Retail,143732,83221,51,2,4.56,10924,60511,42.1
2025-10-01,10,OCT,East,Grocery,Direct,192584,134616,133,2,4.4,13288,57968,30.1
2025-10-01,10,OCT,East,Home,Retail,219108,135628,63,2,4.32,16652,83480,38.1
2025-10-01,10,OCT,North,Beauty,Marketplace,197738,99067,94,3,4.44,15028,98671,49.9
2025-10-01,10,OCT,North,Electronics,Marketplace,347789,250756,56,3,4.2,26432,97033,27.9
2025-10-01,10,OCT,North,Fitness,Retail,166603,93464,60,2,4.56,12662,73139,43.9
2025-10-01,10,OCT,North,Grocery,Direct,228873,155863,158,3,4.4,15792,73010,31.9
2025-10-01,10,OCT,North,Home,Retail,262642,157848,75,3,4.32,19961,104794,39.9
2025-10-01,10,OCT,South,Beauty,Direct,182767,93759,87,2,4.48,12611,89008,48.7
2025-10-01,10,OCT,South,Electronics,Direct,315546,231295,51,2,4.24,21773,84251,26.7
2025-10-01,10,OCT,South,Fitness,Marketplace,155292,88982,55,2,4.52,11802,66310,42.7
2025-10-01,10,OCT,South,Grocery,Retail,210242,145698,145,3,4.4,15978,64544,30.7
2025-10-01,10,OCT,South,Home,Marketplace,240060,147157,69,2,4.28,18245,92903,38.7
2025-10-01,10,OCT,West,Beauty,Retail,218747,110905,104,3,4.48,16625,107842,49.3
2025-10-01,10,OCT,West,Electronics,Retail,383192,278581,62,3,4.24,29123,104611,27.3
2025-10-01,10,OCT,West,Fitness,Direct,184563,104647,66,2,4.56,12735,79916,43.3
2025-10-01,10,OCT,West,Grocery,Marketplace,252931,173764,174,3,4.36,19223,79167,31.3
2025-10-01,10,OCT,West,Home,Direct,289994,176026,83,3,4.32,20010,113968,39.3
2025-11-01,11,NOV,East,Beauty,Retail,181948,94431,87,2,4.49,13828,87517,48.1
2025-11-01,11,NOV,East,Electronics,Retail,311479,230183,50,2,4.25,23672,81296,26.1
2025-11-01,11,NOV,East,Fitness,Direct,155161,89838,55,2,4.57,10706,65323,42.1
2025-11-01,11,NOV,East,Grocery,Marketplace,208735,145906,144,3,4.37,15864,62829,30.1
2025-11-01,11,NOV,East,Home,Direct,237809,147204,68,2,4.33,16409,90605,38.1
2025-11-01,11,NOV,North,Beauty,Retail,215056,107743,102,3,4.49,16344,107313,49.9
2025-11-01,11,NOV,North,Electronics,Retail,379104,273334,61,3,4.25,28812,105770,27.9
2025-11-01,11,NOV,North,Fitness,Direct,180956,101516,65,2,4.57,12486,79440,43.9
2025-11-01,11,NOV,North,Grocery,Marketplace,249156,169675,172,3,4.37,18936,79481,31.9
2025-11-01,11,NOV,North,Home,Direct,286128,171963,82,3,4.33,19743,114165,39.9
2025-11-01,11,NOV,South,Beauty,Marketplace,198161,101657,94,3,4.45,15060,96504,48.7
2025-11-01,11,NOV,South,Electronics,Marketplace,343381,251698,55,3,4.21,26097,91683,26.7
2025-11-01,11,NOV,South,Fitness,Retail,168050,96293,60,2,4.57,12772,71757,42.7
2025-11-01,11,NOV,South,Grocery,Direct,228272,158192,157,3,4.41,15751,70080,30.7
2025-11-01,11,NOV,South,Home,Retail,260936,159954,75,3,4.33,19831,100982,38.7
2025-11-01,11,NOV,West,Beauty,Direct,237669,120498,113,3,4.49,16399,117171,49.3
2025-11-01,11,NOV,West,Electronics,Direct,417406,303454,67,3,4.25,28801,113952,27.3
2025-11-01,11,NOV,West,Fitness,Marketplace,200245,113539,72,2,4.53,15219,86706,43.3
2025-11-01,11,NOV,West,Grocery,Retail,275093,188989,190,3,4.41,20907,86104,31.3
2025-11-01,11,NOV,West,Home,Marketplace,315655,191603,90,3,4.29,23990,124052,39.3
2025-12-01,12,DEC,East,Beauty,Direct,194616,101006,93,2,4.5,13429,93610,48.1
2025-12-01,12,DEC,East,Electronics,Direct,334385,247111,54,2,4.26,23073,87274,26.1
2025-12-01,12,DEC,East,Fitness,Marketplace,165660,95917,59,2,4.54,12590,69743,42.1
2025-12-01,12,DEC,East,Grocery,Retail,223572,156277,154,3,4.42,16991,67295,30.1
2025-12-01,12,DEC,East,Home,Marketplace,254989,157838,73,3,4.3,19379,97151,38.1
2025-12-01,12,DEC,North,Beauty,Direct,230964,115713,110,3,4.5,15937,115251,49.9
2025-12-01,12,DEC,North,Electronics,Direct,407870,294074,66,3,4.26,28143,113796,27.9
2025-12-01,12,DEC,North,Fitness,Marketplace,194140,108913,69,2,4.54,14755,85227,43.9
2025-12-01,12,DEC,North,Grocery,Retail,267788,182364,185,3,4.42,20352,85424,31.9
2025-12-01,12,DEC,North,Home,Marketplace,307702,184929,88,3,4.3,23385,122773,39.9
2025-12-01,12,DEC,South,Beauty,Retail,212302,108911,101,3,4.5,16135,103391,48.7
2025-12-01,12,DEC,South,Electronics,Retail,368951,270441,60,3,4.26,28040,98510,26.7
2025-12-01,12,DEC,South,Fitness,Direct,179769,103008,64,2,4.58,12404,76761,42.7
2025-12-01,12,DEC,South,Grocery,Marketplace,244834,169670,169,3,4.38,18607,75164,30.7
2025-12-01,12,DEC,South,Home,Direct,280113,171709,80,3,4.34,19328,108404,38.7
2025-12-01,12,DEC,West,Beauty,Marketplace,255050,129310,121,3,4.46,19384,125740,49.3
2025-12-01,12,DEC,West,Electronics,Marketplace,448836,326304,72,3,4.22,34112,122532,27.3
2025-12-01,12,DEC,West,Fitness,Retail,214650,121707,77,2,4.58,16313,92943,43.3
2025-12-01,12,DEC,West,Grocery,Direct,295450,202974,204,4,4.42,20386,92476,31.3
2025-12-01,12,DEC,West,Home,Retail,339227,205911,97,3,4.34,25781,133316,39.3
